[Dextran] ,1165,258,,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,,
Creatinine,0.14,0.27,2.78,7.35,6.77,0.38,3.9,7.3,6.9,0.002361,0,,,,,,,,,,,,,
Urea,6.7,10.73,0.11,12.94,13.19,16.09,6.4,13,13.3,0.11502,0.12,,,,,,,,,,,,,
Phosphate,0.79,1.49,0.41,6.39,5.67,2.14,3.3,6.3,5.8,0.013516,0.01,,,,,,,,,,,,,
Potassium,3.24,4.59,4.78,21.38,22.9,,,,,0.07203,0.07,,,,,,,,,,,,,
Glucose,,24.4,,,,,,,,,0.144963478,,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,"Dx0, absolute amount of Dextran at T=0",,,,1.541,,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,"Dxt, absolute amount of Dextran at T=240",,,,1.144,,,,,,,,,,
T=-1,04:03,0,0.481155302,,1972.73,,,,,Dx geometric,,,,0.4,,,,,,,,,,
T=0,04:05,0,0.447402869,6.2,3490.21,,,,,ELAR (mL/min),,,,3.796,,,,,,,,,,
T=10,04:11,10,0.428481797,6.2,3599.9,37.96,153.85,0.015384831,,,,,,,,,,,,,,,,
T=20,04:21,20,0.448782531,2.2,3393.19,37.96,-162.56,-0.016256159,,,,,,,,,,,,,,,,
T=30,04:31,30,0.441095845,2.2,3412.12,37.96,59.09,0.005909247,,,,,,,,,,,,,,,,
T=60,05:01,60,0.44523483,6.2,3264.36,113.87,-31.7,-0.001056642,,,,,,,,,,,,,,,,
T=120,06:01,120,0.4391249,3.2,3075.76,227.73,45.33,0.00075556,,,,,,,,,,,,,,,,
T=180,07:01,180,0.431438215,3.2,2899.57,227.73,54.74,0.000912367,,,,,,,,,,,,,,,,
T=240,08:01,240,0.420992206,7.2,2740.51,227.73,71.87,0.001197786,,,,,,,,,,,,,,,,
,,,,29.4,3102.473652,910.93,190.62,,,,,,,,,,,,,,,,,
,,,,,,910.93,190.62,,,,,,,,,,,,,,,,,
,,,,,,227.73,47.66,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,,
UFV (ml),Ultrafiltration volume,,,,,,,,,,,,,,,,,,,,,,,
LA (ml),Lymphatic absorption,,,,,,,,,,,,,,,,,,,,,,,
Th IPV (m),Theoretical IPV,,,,,,,,,,,,,,,,,,,,,,,
NUFR (ml/min),Netto Ultrafiltration Rate,,,,,,,,,,,,,,,,,,,,,,,
TCUFR (ml/min),Transcappilary ultrafiltration rate,,,,,,,,,,,,,,,,,,,,,,,
ELAR (ml/min),Effective lymphatic absorption rate,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Formulas,,,,,,,,,,,,,,,,,,,,,,,,
Na Sieving ,?Dna =,[Dna]60 - [Dna]0,,i.e. Initial drop in [Dna] due to transcallular UF of water through aquaporins,,,,,,,,,,,,,,,,,,,,
Residual volume (RV),RV = (V*[total protein]1 / [total protein]2) - V,,,,,,,,,,,,,,,,,,,,,,,
,"V = volume of PD fluid instilled, [total protein]1 = total protein concentration in residual volume, [total protein]2 = total, protein concentration after PD fluid has been instilled.",,,,,,,,,,,,,,,,,,,,,,,
"Effective Lymphatic Reabsorption (ELAR, mL/min)",ELAR (ml/min) =,(Dx0 -Dxt) / [Dxgeom] x ?t,,,,,,,,,,,,,,,,,,,,,,
Intraperitoneal volume (mL) (blue dextran),Vt2 =,((Dt1 * Vt1)/Dt2) - (ELAR *?t),,,,,,,,,,,,,,,,,,,,,,
,,"Where Dt1 = dialysate dextran concentration at t1, Dt2 = dialysate dextran concentration at t2, Vt1 = intraperitoneal volume at t1, ELAR = dextran absorption rate, ?t = time interval between two consecutive time points",,,,,,,,,,,,,,,,,,,,,,
Ultrafiltration volume (mL),UF = ,(RV0 + V0) - (RVt + Vt) + Vsamples + ELAR,,,,,,,,,,,,,,,,,,,,,,
,,"UF = net ultrafiltration volume, RV0 = residual volume at t=0, RVt = residual volume at t=x min, V0 = instilled dialysate volume, Vt = drained dialysate volume, V samples = total sample volume, ELAR = effective lymphatic reabsorption",,,,,,,,,,,,,,,,,,,,,,
MTAC according to Garred,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MTAC according to Waniewski,,,,,,,,,,,,,,,,,,,,,,,,
