[Dextran] ,364,250,,,,,,,,,,,,,,,,,,,,,,
Mean,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,,
Creatinine,0.47,0.83,2.28,2.97,2.99,1.25,3.4,3,3,0.005664,0.01,,,,,,,,,,,,,
Urea,15.79,26.16,4.43,6.95,6.96,32.09,5.4,6.9,7,0.1077,0.2,,,,,,,,,,,,,
Phosphate,0.8,1.21,2.19,2.65,2.67,1.6,2.9,2.6,2.7,0.00739,0.01,,,,,,,,,,,,,
Potassium,8.49,9.22,6.86,21.09,21.05,,,,,0.06615,0.09,,,,,,,,,,,,,
Glucose,,-39,,,,,,,,,1.7353,,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,"Dx0, absolute amount of Dextran at T=0",,,,1.467,,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,"Dxt, absolute amount of Dextran at T=240",,,,1.385,,,,,,,,,,
T=-1,00:02,0,0.750493543,,1954.55,,,,,Dx geometric,,,,0.6,,,,,,,,,,
T=0,00:03,0,0.632665479,4,2318.56,,,,,ELAR (mL/min),,,,0.6,,,,,,,,,,
T=10,00:11,10,0.625612391,7,2334.96,5.69,26.09,0.002609412,,,,,,,,,,,,,,,,
T=20,00:21,20,0.612093971,2,2373.69,5.69,51.41,0.00514143,,,,,,,,,,,,,,,,
T=30,00:31,30,0.60981209,2,2374.87,5.69,8.87,0.000887471,,,,,,,,,,,,,,,,
T=60,01:01,60,0.609120611,6,2358.48,17.08,2.69,8.98E-05,,,,,,,,,,,,,,,,
T=120,02:01,120,0.59950905,6,2356.05,34.15,37.72,0.000628599,,,,,,,,,,,,,,,,
T=180,03:01,180,0.587892199,3,2362.33,34.15,46.44,0.000773955,,,,,,,,,,,,,,,,
T=240,04:01,240,0.585264577,7,2335.77,34.15,10.59,0.000176542,,,,,,,,,,,,,,,,
,,,,30,2353.056267,136.62,183.82,,,,,,,,,,,,,,,,,
,,,,,,136.62,183.82,,,,,,,,,,,,,,,,,
,,,,,,34.15,45.96,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,,
UFV (ml),Ultrafiltration volume,,,,,,,,,,,,,,,,,,,,,,,
LA (ml),Lymphatic absorption,,,,,,,,,,,,,,,,,,,,,,,
Th IPV (m),Theoretical IPV,,,,,,,,,,,,,,,,,,,,,,,
NUFR (ml/min),Netto Ultrafiltration Rate,,,,,,,,,,,,,,,,,,,,,,,
TCUFR (ml/min),Transcappilary ultrafiltration rate,,,,,,,,,,,,,,,,,,,,,,,
ELAR (ml/min),Effective lymphatic absorption rate,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Formulas,,,,,,,,,,,,,,,,,,,,,,,,
Na Sieving ,?Dna =,[Dna]60 - [Dna]0,,i.e. Initial drop in [Dna] due to transcallular UF of water through aquaporins,,,,,,,,,,,,,,,,,,,,
Residual volume (RV),RV = (V*[total protein]1 / [total protein]2) - V,,,,,,,,,,,,,,,,,,,,,,,
,"V = volume of PD fluid instilled, [total protein]1 = total protein concentration in residual volume, [total protein]2 = total, protein concentration after PD fluid has been instilled.",,,,,,,,,,,,,,,,,,,,,,,
"Effective Lymphatic Reabsorption (ELAR, mL/min)",ELAR (ml/min) =,(Dx0 -Dxt) / [Dxgeom] x ?t,,,,,,,,,,,,,,,,,,,,,,
Intraperitoneal volume (mL) (blue dextran),Vt2 =,((Dt1 * Vt1)/Dt2) - (ELAR *?t),,,,,,,,,,,,,,,,,,,,,,
,,"Where Dt1 = dialysate dextran concentration at t1, Dt2 = dialysate dextran concentration at t2, Vt1 = intraperitoneal volume at t1, ELAR = dextran absorption rate, ?t = time interval between two consecutive time points",,,,,,,,,,,,,,,,,,,,,,
Ultrafiltration volume (mL),UF = ,(RV0 + V0) - (RVt + Vt) + Vsamples + ELAR,,,,,,,,,,,,,,,,,,,,,,
,,"UF = net ultrafiltration volume, RV0 = residual volume at t=0, RVt = residual volume at t=x min, V0 = instilled dialysate volume, Vt = drained dialysate volume, V samples = total sample volume, ELAR = effective lymphatic reabsorption",,,,,,,,,,,,,,,,,,,,,,
MTAC according to Garred,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MTAC according to Waniewski,,,,,,,,,,,,,,,,,,,,,,,,
